Concentrate,Vendor,Volume_mL,Volume_oz,Min,Max
Absinthe,TPA,0,0,0.3,0.5
Apple_Candy,TPA,0,0,0.2,0.7
Apple_Pie,TPA,0,0,0.4,0.6
Apple,TPA,0,0,0.5,0.75
Apricot,TPA,0,0,0.3,0.5
Banana_Cream,TPA,0,0,0.5,0.75
Banana_Nut_Bread,TPA,0,0,0.25,0.3
Bavarian_Cream,TPA,0,0,0.25,0.75
Belgian_Waffle,TPA,0,0,0.4,0.6
Black_Cherry,TPA,0,0,0.25,0.75
Black_Honey_Tobacco,TPA,0,0,0.15,0.25
Blackberry,TPA,0,0,0.25,0.3
Blueberry_Wild,TPA,0,0,0.5,0.75
Blueberry_Extra,TPA,0,0,0.5,0.7
Bubblegum_Juicy_Style,TPA,0,0,0.5,0.8
Butterscotch,TPA,0,0,0.5,0.7
Cantaloupe,TPA,0,0,0.6,0.8
Cappuccino,TPA,0,0,0,0
Caramel,TPA,0,0,0.05,0.5
Chai_Tea,TPA,0,0,0.5,0.5
Champagne,TPA,0,0,0.3,0.5
Cheesecake,TPA,0,0,0.2,0.75
Cinnamon,TPA,0,0,0.5,0.8
Cinnamon_Red_Hot,TPA,0,0,0.5,0.8
Cinnamon_Spice,TPA,0,0,0.05,0.15
Citrus_Punch,TPA,0,0,0.3,1
Coconut,TPA,0,0,0.4,0.7
Coffee,TPA,0,0,0.1,0.75
Cola,TPA,0,0,0.1,0.5
Circus_Cotton_Candy,TPA,0,0,0.1,1
Cranberry,TPA,0,0,0.1,0.2
Creme_De_Menthe,TPA,0,0,0.5,0.7
DK_Tobacco_Base,TPA,0,0,0.1,0.4
Double_Chocolate_Clear,TPA,0,0,0.5,0.6
Dragon_Fruit,TPA,0,0,0.25,0.6
Dulce_De_Leche,TPA,0,0,0.5,0.7
Earl_Grey_Tea,TPA,0,0,0.1,0.15
Energy_Drink,TPA,0,0,0.2,0.6
Ethyl_Maltol,TPA,0,0,0.05,0.25
Eucalyptus,TPA,0,0,0.05,0.25
French_Vanilla_Deluxe,TPA,0,0,0.25,0.4
Graham_Cracker_Clear,TPA,0,0,0.5,0.75
Grape_Candy,TPA,0,0,0.2,0.6
Grape_Juice,TPA,0,0,0.2,0.6
Green_Apple,TPA,0,0,0.2,1
Green_Tea,TPA,0,0,0.5,0.75
Gummy_Candy,TPA,0,0,0.2,0.5
Hawaiian_Punch,TPA,0,0,0.5,1
Hickory_Smoke,TPA,0,0,0,0
Honeydew,TPA,0,0,0.25,0.5
Honey,TPA,0,0,0.05,0.25
Horchata,TPA,0,0,0.2,0.3
Hpno,TPA,0,0,0.4,0.8
Irish_Cream,TPA,0,0,0.5,0.6
Jackfruit,TPA,0,0,0,0
Jamaican_Rum,TPA,0,0,0.3,0.5
Kentucky_Bourbon,TPA,0,0,0,0
